date,home_team,away_team,home_score,away_score,tournament,neutral,home_elo_pre,away_elo_pre,home_fifa_pre,away_fifa_pre,home_form_pre,away_form_pre,match_weight
2024-06-18,Portugal,Czechia,2,1,UEFA Euro,TRUE,1984,1727,1732,1483,75,70,1
2024-06-19,Scotland,Switzerland,1,1,UEFA Euro,TRUE,1700,1811,1442,1593,47,66,1
2024-06-20,Argentina,Canada,2,0,Copa América,TRUE,2149,1735,1871,1482,78,57,1
2024-06-21,Netherlands,France,0,0,UEFA Euro,TRUE,1981,2081,1782,1877,75,69,1
2024-06-22,Türkiye,Portugal,0,3,UEFA Euro,TRUE,1730,1995,1496,1743,59,74,1
2024-06-23,Germany,Switzerland,1,1,UEFA Euro,FALSE,1935,1803,1749,1588,69,63,1
2024-06-23,Uruguay,Panama,3,1,Copa América,TRUE,1988,1727,1679,1484,67,70,1
2024-06-24,Colombia,Paraguay,2,1,Copa América,TRUE,2010,1679,1698,1403,74,56,1
2024-06-25,Netherlands,Austria,2,3,UEFA Euro,TRUE,1988,1838,1785,1504,72,71,1
2024-06-26,Czechia,Türkiye,1,2,UEFA Euro,TRUE,1706,1711,1466,1485,68,58,1
2024-06-27,USA,Panama,1,2,Copa América,FALSE,1807,1710,1669,1472,63,65,1
2024-06-28,Paraguay,Brazil,1,4,Copa América,TRUE,1670,2002,1393,1810,52,58,1
2024-06-30,Mexico,Ecuador,0,0,Copa América,TRUE,1791,1854,1641,1531,56,64,1
2024-07-01,France,Belgium,1,0,UEFA Euro,TRUE,2052,1929,1863,1751,67,68,1
2024-07-01,USA,Uruguay,0,1,Copa América,FALSE,1766,2013,1645,1696,63,71,1
2024-07-02,Austria,Türkiye,1,2,UEFA Euro,TRUE,1876,1738,1531,1503,75,59,1
2024-07-02,Brazil,Colombia,1,1,Copa América,TRUE,2016,2030,1816,1718,59,80,1
2024-07-04,Argentina,Ecuador,1,1,Copa América,TRUE,2168,1850,1891,1535,79,64,1
2024-07-05,Germany,Spain,1,2,UEFA Euro,FALSE,1938,2077,1756,1823,69,77,1
2024-07-05,Portugal,France,0,0,UEFA Euro,TRUE,1925,2071,1712,1877,67,67,1
2024-07-06,England,Switzerland,1,1,UEFA Euro,TRUE,1961,1870,1775,1616,63,65,1
2024-07-06,Netherlands,Türkiye,2,1,UEFA Euro,TRUE,1967,1775,1767,1522,72,59,1
2024-07-06,Uruguay,Brazil,0,0,Copa América,TRUE,2032,2017,1713,1813,74,59,1
2024-07-06,Colombia,Panama,5,0,Copa América,TRUE,2029,1771,1721,1505,79,65,1
2024-07-09,Spain,France,2,1,UEFA Euro,TRUE,2103,2061,1839,1872,77,64,1
2024-07-09,Argentina,Canada,2,0,Copa América,TRUE,2150,1754,1880,1492,76,56,1
2024-07-10,Netherlands,England,1,2,UEFA Euro,TRUE,1982,1955,1777,1770,73,61,1
2024-07-10,Uruguay,Colombia,0,1,Copa América,TRUE,2031,2052,1716,1733,71,80,1
2024-07-13,Canada,Uruguay,2,2,Copa América,TRUE,1745,2004,1485,1698,56,67,1
2024-07-14,Spain,England,2,1,UEFA Euro,TRUE,2128,1984,1858,1788,76,63,1
2024-07-14,Argentina,Colombia,1,0,Copa América,TRUE,2159,2078,1887,1750,80,80,1
2024-09-05,Portugal,Croatia,2,1,UEFA Nations League,FALSE,1935,1889,1717,1652,65,65,1
2024-09-06,Egypt,Cabo Verde,3,0,African Cup of Nations qualification,FALSE,1633,1557,1526,1357,64,67,1
2024-09-06,Uruguay,Paraguay,0,0,FIFA World Cup qualification,FALSE,1979,1627,1688,1372,65,50,1
2024-09-06,Brazil,Ecuador,1,0,FIFA World Cup qualification,FALSE,2018,1868,1810,1545,61,64,1
2024-09-07,Mexico,New Zealand,3,0,Friendly,TRUE,1795,1639,1637,1407,58,64,0.6
2024-09-07,USA,Canada,1,2,Friendly,FALSE,1748,1761,1629,1492,59,54,0.6
2024-09-07,Netherlands,Bosnia and Herzegovina,5,2,UEFA Nations League,FALSE,1952,1396,1759,1281,68,47,1
2024-09-08,Portugal,Scotland,2,1,UEFA Nations League,FALSE,1949,1653,1724,1422,64,49,1
2024-09-08,Switzerland,Spain,1,4,UEFA Nations League,FALSE,1844,2132,1612,1869,64,80,1
2024-09-09,France,Belgium,2,0,UEFA Nations League,FALSE,1983,1917,1842,1739,62,67,1
2024-09-09,Norway,Austria,2,1,UEFA Nations League,FALSE,1663,1839,1415,1510,61,68,1
2024-09-10,Mexico,Canada,0,0,Friendly,TRUE,1807,1775,1640,1498,59,57,0.6
2024-09-10,USA,New Zealand,1,1,Friendly,FALSE,1734,1627,1622,1404,54,62,0.6
2024-09-10,Netherlands,Germany,2,2,UEFA Nations League,FALSE,1954,1930,1761,1744,68,73,1
2024-09-10,Colombia,Argentina,2,1,FIFA World Cup qualification,FALSE,2043,2184,1731,1905,73,80,1
2024-09-10,Paraguay,Brazil,1,0,FIFA World Cup qualification,FALSE,1645,2027,1379,1817,51,65,1
