advancing_third_groups,3ABCDF,3CDFGH,3CEFHI,3EHIJK,3BEFIJ,3AEHIJ,3EFGIJ,3DEIJL,assignment_source
ABDFGHIK,A,G,F,K,B,H,I,D,generated_from_fifa_candidate_slots
ABDFGHIL,D,G,F,H,B,A,I,L,generated_from_fifa_candidate_slots
ABDFGHJK,A,G,F,K,B,H,J,D,generated_from_fifa_candidate_slots
ABDFGHJL,D,G,F,H,B,A,J,L,generated_from_fifa_candidate_slots
ABDFGHKL,D,H,F,K,B,A,G,L,generated_from_fifa_candidate_slots
ABDFGIJK,B,D,F,K,J,A,G,I,generated_from_fifa_candidate_slots
ABDFGIJL,B,D,F,I,J,A,G,L,generated_from_fifa_candidate_slots
ABDFGIKL,B,D,F,K,I,A,G,L,generated_from_fifa_candidate_slots
ABDFGJKL,B,D,F,K,J,A,G,L,generated_from_fifa_candidate_slots
ABDFHIJK,A,D,F,K,B,H,I,J,generated_from_fifa_candidate_slots
ABDFHIJL,A,D,F,H,B,J,I,L,generated_from_fifa_candidate_slots
ABDFHIKL,A,D,H,K,B,I,F,L,generated_from_fifa_candidate_slots
ABDFHJKL,A,D,F,K,B,H,J,L,generated_from_fifa_candidate_slots
ABDFIJKL,B,D,F,K,J,A,I,L,generated_from_fifa_candidate_slots
ABDGHIJK,A,D,H,K,B,J,G,I,generated_from_fifa_candidate_slots
ABDGHIJL,A,D,H,I,B,J,G,L,generated_from_fifa_candidate_slots
ABDGHIKL,A,D,H,K,B,I,G,L,generated_from_fifa_candidate_slots
ABDGHJKL,A,D,H,K,B,J,G,L,generated_from_fifa_candidate_slots
ABDGIJKL,A,D,I,K,B,J,G,L,generated_from_fifa_candidate_slots
ABDHIJKL,A,D,H,K,B,J,I,L,generated_from_fifa_candidate_slots
ABEFGHIJ,A,F,H,I,B,J,G,E,generated_from_fifa_candidate_slots
ABEFGHIK,A,F,H,K,B,I,G,E,generated_from_fifa_candidate_slots
ABEFGHIL,A,F,H,E,B,I,G,L,generated_from_fifa_candidate_slots
ABEFGHJK,A,F,H,K,B,J,G,E,generated_from_fifa_candidate_slots
ABEFGHJL,A,F,E,H,B,J,G,L,generated_from_fifa_candidate_slots
ABEFGHKL,A,F,E,K,B,H,G,L,generated_from_fifa_candidate_slots
ABEFGIJK,A,F,E,K,B,J,G,I,generated_from_fifa_candidate_slots
ABEFGIJL,A,F,E,I,B,J,G,L,generated_from_fifa_candidate_slots
ABEFGIKL,A,F,E,K,B,I,G,L,generated_from_fifa_candidate_slots
ABEFGJKL,A,F,E,K,B,J,G,L,generated_from_fifa_candidate_slots
ABEFHIJK,A,F,H,K,B,J,I,E,generated_from_fifa_candidate_slots
ABEFHIJL,A,F,E,H,B,J,I,L,generated_from_fifa_candidate_slots
ABEFHIKL,A,F,H,K,B,I,E,L,generated_from_fifa_candidate_slots
ABEFHJKL,A,F,E,K,B,H,J,L,generated_from_fifa_candidate_slots
ABEFIJKL,A,F,E,K,B,I,J,L,generated_from_fifa_candidate_slots
ABEGHIJK,A,G,E,K,B,H,J,I,generated_from_fifa_candidate_slots
ABEGHIJL,A,G,E,H,B,J,I,L,generated_from_fifa_candidate_slots
ABEGHIKL,A,G,E,K,B,H,I,L,generated_from_fifa_candidate_slots
ABEGHJKL,A,G,E,K,B,H,J,L,generated_from_fifa_candidate_slots
ABEGIJKL,A,G,E,K,B,I,J,L,generated_from_fifa_candidate_slots
ABEHIJKL,A,H,E,K,B,J,I,L,generated_from_fifa_candidate_slots
ABFGHIJK,A,F,H,K,B,J,G,I,generated_from_fifa_candidate_slots
ABFGHIJL,A,F,H,I,B,J,G,L,generated_from_fifa_candidate_slots
ABFGHIKL,A,F,H,K,B,I,G,L,generated_from_fifa_candidate_slots
ABFGHJKL,A,G,F,K,B,H,J,L,generated_from_fifa_candidate_slots
ABFGIJKL,A,F,I,K,B,J,G,L,generated_from_fifa_candidate_slots
ABFHIJKL,A,F,H,K,B,J,I,L,generated_from_fifa_candidate_slots
ABGHIJKL,A,G,H,K,B,J,I,L,generated_from_fifa_candidate_slots
ACDEFGHI,A,C,I,E,F,H,G,D,generated_from_fifa_candidate_slots
ACDEFGHJ,A,G,C,E,F,H,J,D,generated_from_fifa_candidate_slots
ACDEFGHK,C,G,H,K,E,A,F,D,generated_from_fifa_candidate_slots
ACDEFGHL,C,D,H,E,F,A,G,L,generated_from_fifa_candidate_slots
ACDEFGIJ,A,C,F,E,I,J,G,D,generated_from_fifa_candidate_slots
ACDEFGIK,C,F,I,K,E,A,G,D,generated_from_fifa_candidate_slots
ACDEFGIL,C,D,I,E,F,A,G,L,generated_from_fifa_candidate_slots
ACDEFGJK,F,G,C,K,E,A,J,D,generated_from_fifa_candidate_slots
ACDEFGJL,D,G,C,E,F,A,J,L,generated_from_fifa_candidate_slots
ACDEFGKL,D,G,C,K,E,A,F,L,generated_from_fifa_candidate_slots
ACDEFHIJ,A,C,H,E,F,J,I,D,generated_from_fifa_candidate_slots
ACDEFHIK,A,C,I,K,E,H,F,D,generated_from_fifa_candidate_slots
ACDEFHIL,A,D,C,E,F,H,I,L,generated_from_fifa_candidate_slots
ACDEFHJK,A,C,H,K,E,J,F,D,generated_from_fifa_candidate_slots
