advancing_third_groups,3ABCDF,3CDFGH,3CEFHI,3EHIJK,3BEFIJ,3AEHIJ,3EFGIJ,3DEIJL,assignment_source
BCDEFGHJ,B,G,C,E,F,H,J,D,generated_from_fifa_candidate_slots
BCDEFGHK,C,G,H,K,B,E,F,D,generated_from_fifa_candidate_slots
BCDEFGHL,D,G,C,E,B,H,F,L,generated_from_fifa_candidate_slots
BCDEFGIJ,B,C,F,E,J,I,G,D,generated_from_fifa_candidate_slots
BCDEFGIK,B,C,F,K,I,E,G,D,generated_from_fifa_candidate_slots
BCDEFGIL,B,D,C,E,F,I,G,L,generated_from_fifa_candidate_slots
BCDEFGJK,B,F,C,K,J,E,G,D,generated_from_fifa_candidate_slots
BCDEFGJL,B,D,C,E,F,J,G,L,generated_from_fifa_candidate_slots
BCDEFGKL,D,G,C,K,B,E,F,L,generated_from_fifa_candidate_slots
BCDEFHIJ,B,C,I,E,J,H,F,D,generated_from_fifa_candidate_slots
BCDEFHIK,B,C,H,K,I,E,F,D,generated_from_fifa_candidate_slots
BCDEFHIL,B,D,C,E,I,H,F,L,generated_from_fifa_candidate_slots
BCDEFHJK,B,C,H,K,J,E,F,D,generated_from_fifa_candidate_slots
BCDEFHJL,B,D,C,E,J,H,F,L,generated_from_fifa_candidate_slots
BCDEFHKL,C,D,H,K,B,E,F,L,generated_from_fifa_candidate_slots
BCDEFIJK,B,C,F,K,J,E,I,D,generated_from_fifa_candidate_slots
BCDEFIJL,D,C,F,E,B,I,J,L,generated_from_fifa_candidate_slots
BCDEFIKL,D,C,I,K,B,E,F,L,generated_from_fifa_candidate_slots
BCDEFJKL,D,C,F,K,B,E,J,L,generated_from_fifa_candidate_slots
BCDEGHIJ,B,C,E,H,I,J,G,D,generated_from_fifa_candidate_slots
BCDEGHIK,B,C,I,K,E,H,G,D,generated_from_fifa_candidate_slots
BCDEGHIL,B,D,C,E,I,H,G,L,generated_from_fifa_candidate_slots
BCDEGHJK,B,D,C,K,E,H,G,J,generated_from_fifa_candidate_slots
BCDEGHJL,B,D,C,E,J,H,G,L,generated_from_fifa_candidate_slots
BCDEGHKL,C,D,H,K,B,E,G,L,generated_from_fifa_candidate_slots
BCDEGIJK,B,C,E,K,J,I,G,D,generated_from_fifa_candidate_slots
BCDEGIJL,B,D,C,E,J,I,G,L,generated_from_fifa_candidate_slots
BCDEGIKL,B,D,C,K,I,E,G,L,generated_from_fifa_candidate_slots
BCDEGJKL,B,D,C,K,J,E,G,L,generated_from_fifa_candidate_slots
BCDEHIJK,B,C,H,K,I,J,E,D,generated_from_fifa_candidate_slots
BCDEHIJL,B,D,C,H,I,J,E,L,generated_from_fifa_candidate_slots
BCDEHIKL,B,D,C,K,I,H,E,L,generated_from_fifa_candidate_slots
BCDEHJKL,B,D,C,K,J,H,E,L,generated_from_fifa_candidate_slots
BCDEIJKL,D,C,E,K,B,I,J,L,generated_from_fifa_candidate_slots
BCDFGHIJ,B,G,C,H,F,I,J,D,generated_from_fifa_candidate_slots
BCDFGHIK,C,G,I,K,B,H,F,D,generated_from_fifa_candidate_slots
BCDFGHIL,D,G,C,H,B,I,F,L,generated_from_fifa_candidate_slots
BCDFGHJK,F,G,C,K,B,H,J,D,generated_from_fifa_candidate_slots
BCDFGHJL,D,G,C,H,B,J,F,L,generated_from_fifa_candidate_slots
BCDFGHKL,D,G,C,K,B,H,F,L,generated_from_fifa_candidate_slots
BCDFGIJK,B,F,C,K,J,I,G,D,generated_from_fifa_candidate_slots
BCDFGIJL,B,D,C,I,F,J,G,L,generated_from_fifa_candidate_slots
BCDFGIKL,D,G,C,K,B,I,F,L,generated_from_fifa_candidate_slots
BCDFGJKL,D,G,C,K,B,J,F,L,generated_from_fifa_candidate_slots
BCDFHIJK,B,C,I,K,J,H,F,D,generated_from_fifa_candidate_slots
BCDFHIJL,B,D,C,H,J,I,F,L,generated_from_fifa_candidate_slots
BCDFHIKL,C,D,I,K,B,H,F,L,generated_from_fifa_candidate_slots
BCDFHJKL,B,D,C,K,J,H,F,L,generated_from_fifa_candidate_slots
BCDFIJKL,D,C,F,K,B,I,J,L,generated_from_fifa_candidate_slots
BCDGHIJK,B,D,C,K,I,H,G,J,generated_from_fifa_candidate_slots
BCDGHIJL,B,D,C,H,I,J,G,L,generated_from_fifa_candidate_slots
BCDGHIKL,C,D,I,K,B,H,G,L,generated_from_fifa_candidate_slots
BCDGHJKL,D,G,C,K,B,H,J,L,generated_from_fifa_candidate_slots
BCDGIJKL,B,D,C,K,J,I,G,L,generated_from_fifa_candidate_slots
BCDHIJKL,B,D,C,K,J,H,I,L,generated_from_fifa_candidate_slots
BCEFGHIJ,B,C,F,H,J,I,G,E,generated_from_fifa_candidate_slots
BCEFGHIK,B,C,I,K,F,H,G,E,generated_from_fifa_candidate_slots
BCEFGHIL,B,C,I,E,F,H,G,L,generated_from_fifa_candidate_slots
BCEFGHJK,B,C,F,K,J,H,G,E,generated_from_fifa_candidate_slots
BCEFGHJL,B,C,F,E,J,H,G,L,generated_from_fifa_candidate_slots
BCEFGHKL,B,C,H,K,F,E,G,L,generated_from_fifa_candidate_slots
BCEFGIJK,B,C,F,K,J,E,G,I,generated_from_fifa_candidate_slots
BCEFGIJL,B,C,F,E,J,I,G,L,generated_from_fifa_candidate_slots
BCEFGIKL,B,C,F,K,I,E,G,L,generated_from_fifa_candidate_slots
BCEFGJKL,B,C,F,K,J,E,G,L,generated_from_fifa_candidate_slots
BCEFHIJK,B,C,I,K,J,H,F,E,generated_from_fifa_candidate_slots
BCEFHIJL,B,C,I,E,J,H,F,L,generated_from_fifa_candidate_slots
BCEFHIKL,B,C,H,K,I,E,F,L,generated_from_fifa_candidate_slots
BCEFHJKL,B,C,H,K,J,E,F,L,generated_from_fifa_candidate_slots
BCEFIJKL,B,C,F,K,J,E,I,L,generated_from_fifa_candidate_slots
BCEGHIJK,B,C,H,K,I,J,G,E,generated_from_fifa_candidate_slots
BCEGHIJL,B,C,E,H,I,J,G,L,generated_from_fifa_candidate_slots
BCEGHIKL,B,C,I,K,E,H,G,L,generated_from_fifa_candidate_slots
BCEGHJKL,B,C,E,K,J,H,G,L,generated_from_fifa_candidate_slots
BCEGIJKL,B,C,E,K,J,I,G,L,generated_from_fifa_candidate_slots
BCEHIJKL,B,C,H,K,I,J,E,L,generated_from_fifa_candidate_slots
BCFGHIJK,B,C,F,K,J,H,G,I,generated_from_fifa_candidate_slots
BCFGHIJL,B,C,F,H,J,I,G,L,generated_from_fifa_candidate_slots
BCFGHIKL,B,C,I,K,F,H,G,L,generated_from_fifa_candidate_slots
BCFGHJKL,B,G,C,K,F,H,J,L,generated_from_fifa_candidate_slots
BCFGIJKL,B,C,F,K,J,I,G,L,generated_from_fifa_candidate_slots
BCFHIJKL,B,C,I,K,J,H,F,L,generated_from_fifa_candidate_slots
BCGHIJKL,B,C,H,K,I,J,G,L,generated_from_fifa_candidate_slots
BDEFGHIJ,B,D,E,H,F,I,G,J,generated_from_fifa_candidate_slots
BDEFGHIK,B,F,H,K,I,E,G,D,generated_from_fifa_candidate_slots
BDEFGHIL,B,D,F,E,I,H,G,L,generated_from_fifa_candidate_slots
BDEFGHJK,B,F,E,K,J,H,G,D,generated_from_fifa_candidate_slots
BDEFGHJL,B,D,E,H,F,J,G,L,generated_from_fifa_candidate_slots
BDEFGHKL,B,D,H,K,F,E,G,L,generated_from_fifa_candidate_slots
BDEFGIJK,B,D,E,K,F,I,G,J,generated_from_fifa_candidate_slots
BDEFGIJL,B,D,E,I,F,J,G,L,generated_from_fifa_candidate_slots
BDEFGIKL,B,D,F,K,I,E,G,L,generated_from_fifa_candidate_slots
BDEFGJKL,B,D,E,K,F,J,G,L,generated_from_fifa_candidate_slots
BDEFHIJK,B,D,E,K,J,H,F,I,generated_from_fifa_candidate_slots
BDEFHIJL,B,D,E,H,J,I,F,L,generated_from_fifa_candidate_slots
BDEFHIKL,B,D,H,K,I,E,F,L,generated_from_fifa_candidate_slots
BDEFHJKL,B,D,E,K,J,H,F,L,generated_from_fifa_candidate_slots
BDEFIJKL,B,D,E,K,J,I,F,L,generated_from_fifa_candidate_slots
BDEGHIJK,B,D,E,K,I,H,G,J,generated_from_fifa_candidate_slots
BDEGHIJL,B,D,E,H,I,J,G,L,generated_from_fifa_candidate_slots
BDEGHIKL,B,D,E,K,I,H,G,L,generated_from_fifa_candidate_slots
BDEGHJKL,B,D,E,K,J,H,G,L,generated_from_fifa_candidate_slots
BDEGIJKL,B,D,E,K,J,I,G,L,generated_from_fifa_candidate_slots
BDEHIJKL,B,D,E,K,J,H,I,L,generated_from_fifa_candidate_slots
BDFGHIJK,B,G,F,K,I,H,J,D,generated_from_fifa_candidate_slots
BDFGHIJL,B,D,F,H,J,I,G,L,generated_from_fifa_candidate_slots
BDFGHIKL,B,D,F,K,I,H,G,L,generated_from_fifa_candidate_slots
BDFGHJKL,B,D,F,K,J,H,G,L,generated_from_fifa_candidate_slots
BDFGIJKL,B,D,F,K,J,I,G,L,generated_from_fifa_candidate_slots
BDFHIJKL,B,D,F,K,J,H,I,L,generated_from_fifa_candidate_slots
BDGHIJKL,B,D,H,K,I,J,G,L,generated_from_fifa_candidate_slots
BEFGHIJK,B,F,H,K,J,I,G,E,generated_from_fifa_candidate_slots
BEFGHIJL,B,F,E,H,J,I,G,L,generated_from_fifa_candidate_slots
BEFGHIKL,B,F,H,K,I,E,G,L,generated_from_fifa_candidate_slots
BEFGHJKL,B,F,E,K,J,H,G,L,generated_from_fifa_candidate_slots
BEFGIJKL,B,F,E,K,J,I,G,L,generated_from_fifa_candidate_slots
BEFHIJKL,B,F,E,K,J,H,I,L,generated_from_fifa_candidate_slots
BEGHIJKL,B,G,E,K,I,H,J,L,generated_from_fifa_candidate_slots
BFGHIJKL,B,F,H,K,J,I,G,L,generated_from_fifa_candidate_slots
CDEFGHIJ,C,G,I,E,F,H,J,D,generated_from_fifa_candidate_slots
CDEFGHIK,C,G,I,K,E,H,F,D,generated_from_fifa_candidate_slots
CDEFGHIL,C,D,I,E,F,H,G,L,generated_from_fifa_candidate_slots
CDEFGHJK,C,G,F,K,E,H,J,D,generated_from_fifa_candidate_slots
CDEFGHJL,C,D,H,E,F,J,G,L,generated_from_fifa_candidate_slots
CDEFGHKL,C,D,F,K,E,H,G,L,generated_from_fifa_candidate_slots
CDEFGIJK,C,D,F,K,I,E,G,J,generated_from_fifa_candidate_slots
CDEFGIJL,C,D,F,E,J,I,G,L,generated_from_fifa_candidate_slots
CDEFGIKL,C,D,I,K,F,E,G,L,generated_from_fifa_candidate_slots
CDEFGJKL,C,D,F,K,J,E,G,L,generated_from_fifa_candidate_slots
CDEFHIJK,C,D,I,K,E,H,F,J,generated_from_fifa_candidate_slots
CDEFHIJL,C,D,I,E,F,H,J,L,generated_from_fifa_candidate_slots
CDEFHIKL,C,D,I,K,E,H,F,L,generated_from_fifa_candidate_slots
CDEFHJKL,C,D,F,K,E,H,J,L,generated_from_fifa_candidate_slots
CDEFIJKL,C,D,F,K,I,E,J,L,generated_from_fifa_candidate_slots
CDEGHIJK,C,D,H,K,E,I,G,J,generated_from_fifa_candidate_slots
CDEGHIJL,C,D,H,I,E,J,G,L,generated_from_fifa_candidate_slots
CDEGHIKL,C,D,I,K,E,H,G,L,generated_from_fifa_candidate_slots
CDEGHJKL,C,D,H,K,E,J,G,L,generated_from_fifa_candidate_slots
CDEGIJKL,C,D,E,K,I,J,G,L,generated_from_fifa_candidate_slots
CDEHIJKL,C,D,H,K,E,J,I,L,generated_from_fifa_candidate_slots
CDFGHIJK,C,G,I,K,F,H,J,D,generated_from_fifa_candidate_slots
CDFGHIJL,C,D,I,H,F,J,G,L,generated_from_fifa_candidate_slots
CDFGHIKL,C,D,I,K,F,H,G,L,generated_from_fifa_candidate_slots
CDFGHJKL,D,G,C,K,F,H,J,L,generated_from_fifa_candidate_slots
CDFGIJKL,C,D,F,K,J,I,G,L,generated_from_fifa_candidate_slots
CDFHIJKL,C,D,I,K,F,H,J,L,generated_from_fifa_candidate_slots
CDGHIJKL,C,D,H,K,I,J,G,L,generated_from_fifa_candidate_slots
CEFGHIJK,C,F,H,K,I,J,G,E,generated_from_fifa_candidate_slots
CEFGHIJL,C,F,H,E,I,J,G,L,generated_from_fifa_candidate_slots
CEFGHIKL,C,F,I,K,E,H,G,L,generated_from_fifa_candidate_slots
CEFGHJKL,C,G,F,K,E,H,J,L,generated_from_fifa_candidate_slots
CEFGIJKL,C,F,I,K,J,E,G,L,generated_from_fifa_candidate_slots
CEFHIJKL,C,F,I,K,E,H,J,L,generated_from_fifa_candidate_slots
CEGHIJKL,C,G,H,K,E,I,J,L,generated_from_fifa_candidate_slots
CFGHIJKL,C,G,I,K,F,H,J,L,generated_from_fifa_candidate_slots
DEFGHIJK,D,F,E,K,I,H,G,J,generated_from_fifa_candidate_slots
DEFGHIJL,D,F,E,H,I,J,G,L,generated_from_fifa_candidate_slots
DEFGHIKL,D,F,I,K,E,H,G,L,generated_from_fifa_candidate_slots
DEFGHJKL,D,G,E,K,F,H,J,L,generated_from_fifa_candidate_slots
DEFGIJKL,D,F,E,K,J,I,G,L,generated_from_fifa_candidate_slots
DEFHIJKL,D,F,E,K,I,H,J,L,generated_from_fifa_candidate_slots
DEGHIJKL,D,G,E,K,I,H,J,L,generated_from_fifa_candidate_slots
DFGHIJKL,D,G,F,K,I,H,J,L,generated_from_fifa_candidate_slots
EFGHIJKL,F,G,E,K,I,H,J,L,generated_from_fifa_candidate_slots
